Quest,Description
Coming to Limsa Lominsa,"To be recognized as an adventurer in the city–state of Limsa Lominsa, you must register yourself with the Adventurers' Guild."
Close to Home,"Baderon, proprietor of the Drowning Wench, wants you to perform three tasks that will help you learn the fundamentals of adventuring."
On to Summerford,"Baderon, proprietor of the Drowning Wench, wants you to lend a hand at Summerford Farms."
Dressed to Call,"Staelwyrn, owner of Summerford Farms, wishes to inspect your equipment and thereby gauge your readiness for the tasks he has in mind."
Lurkers in the Grotto,"Staelwyrn, the owner of Summerford Farms, has a task for a competent adventurer."
Washed Up,"Staelwyrn is up in arms, as his hired hands are nowhere to be found."
Double Dealing,Staelwyrn worries his sack of oranges will not reach the La Thagran Checkpoint as planned.
Loam Maintenance,Gurcant seeks fertile soil to improve the yields of his newly plowed fields.
Plowshares to Swords,Pfrewahl needs stolen farm tools recovered.
Just Deserts,Staelwyrn has reason to believe that Sevrin is up to no good. Something must be done.
Sky-high,"Baderon, the proprietor of the Drowning Wench, has a suggestion to put you on the road towards new adventures."
Thanks a Million,"Wyrkrhit, a Skylift operator, needs you to recover a cargo load abandoned by a terrified wagon driver and deliver it to its intended recipient."
Relighting the Torch,"Fraeloef, a Yellowjacket on guard duty in Swiftperch, wants you to visit the Brewer's Beacon and investigate the reason behind the waning light."
On to the Drydocks,"Forgemaster H'naanza, head of Naldiq & Vymelli's, wants you to assist with the workload over at the Moraby Drydocks."
Without a Doubt,Ahtbyrm is looking for a member of his crew and the items he was supposed to deliver.
Righting the Shipwright,Haldbroda has a suggestion for the kind adventurer who came bearing foreman Ahtbyrm's message.
Do Angry Pirates Dream,Victory foreman Ahtbyrm is considering recommending you for an important job involving drydock security.
Victory in Peril,"Ghimthota, a captain of the watch at the Moraby Drydocks, wishes your aid in dealing with potential intruders."
Men of the Blue Tattoos,Ghimthota wishes to entrust you with an important task.
Feint and Strike,Baderon has a task for a trusted adventurer.
High Society,Commodore Reyner wishes to speak with you regarding the forthcoming banquet.
A Mizzenmast Repast,Baderon wants you to let him know when you are ready to depart for the banquet.
The Lominsan Envoy,Merlwyb wishes to entrust you with an important task.
Call of the Sea,Bartholomew has information that may be of interest to you.
Coming to Gridania,"To be recognized as an adventurer in the city-state of Gridania, you must first register yourself with the Adventurers' Guild."
Close to Home,"Miounne, proprietress of the Carline Canopy, wants you to perform three tasks that will help you learn the fundamentals of adventuring."
To the Bannock,Miounne wishes to send an adventurer to the instructor at the Bannock.
Passing Muster,"Galfrid, chief instructor at the Bannock, wishes to inspect your equipment and thereby gauge your readiness for future missions."
Chasing Shadows,Galfrid needs an adventurer to investigate suspicious activity in the Twelveswood.
Eggs Over Queasy,"Galfrid, chief instructor at the Bannock, wishes you to collect chigoe egg sacs."
Surveying the Damage,A guard at Gilbert's Spire named Monranguin needs you to recover the surveying equipment left behind in a cave by a startled recruit. 
A Soldier's Breakfast,"Pauline at Gabineaux's Bower needs an adventurer to cull the growing anole population, as well as gather one of the scalekin's eggs."
Spirithold Broken,"Galfrid, chief instructor at the Bannock, would entrust you with the task of investigating Spirithold. "
