Character,Chapter,Line
Barret,Sector 1 - The No. 1 Reactor,C'mon newcomer. Follow me.
Biggs,Sector 1 - The No. 1 Reactor,Wow! You used to be in SOLDIER all right! ...Not everyday ya find one in a group like AVALANCHE.
Jessie,Sector 1 - The No. 1 Reactor,SOLDIER? Aren't they the enemy?What's he doing with us in AVALANCHE?
Biggs,Sector 1 - The No. 1 Reactor,"Hold it, Jessie. He WAS in SOLDIER.He quit them and now is one of us.Didn't catch your name..."
Cloud,Sector 1 - The No. 1 Reactor,....
Biggs,Sector 1 - The No. 1 Reactor,"Cloud, eh? I'm..."
Cloud,Sector 1 - The No. 1 Reactor,I don't care what your names are. Once this job's over... I'm outta here.
Barret,Sector 1 - The No. 1 Reactor,The hell you all doin'!? I thought I told you never to move in a group!Our target's the North Mako Reactor. We'll meet on the bridge in front of it.
Barret,Sector 1 - The No. 1 Reactor,"Ex-SOLDIER, huh? Don't trust ya!If you push the Directional button while pushing the [CANCEL] button to run. (earlier marked X)"
Wedge,Sector 1 - The No. 1 Reactor,"I'll secure the escape passage. Concentrate on the mission, Cloud.Geez, we're really gonna blow this huge furnace up? This'll be somethin' to see!"
Barret,Sector 1 - The No. 1 Reactor,Yo! This your first time in a reactor?
Cloud,Sector 1 - The No. 1 Reactor,"No. After all, I did work for Shinra, y'know."
Barret,Sector 1 - The No. 1 Reactor,The planet's full of Mako energy. People here use it every day.
Barret,Sector 1 - The No. 1 Reactor,It's the life blood of this planet. But Shinra keeps suckin' the blood out with these weird machines.
Cloud,Sector 1 - The No. 1 Reactor,I'm not here for a lecture. Let's just hurry.
Barret,Sector 1 - The No. 1 Reactor,That's it! You're comin' with me from now on.
Jessie,Sector 1 - The No. 1 Reactor,Biggs and I got the code for this door.
Biggs,Sector 1 - The No. 1 Reactor,Code deciphered.
Biggs,Sector 1 - The No. 1 Reactor,"Think how many of our people risked their lives, just for this code..."
Jessie,Sector 1 - The No. 1 Reactor,Code deciphered.
Jessie,Sector 1 - The No. 1 Reactor,Push that button over there!
Barret,Sector 1 - The No. 1 Reactor,Little by little the reactors'll drain out all the life. And that'll be that.
Cloud,Sector 1 - The No. 1 Reactor,It's not my problem.
Barret,Sector 1 - The No. 1 Reactor,"The planet's dyin', Cloud!"
Cloud,Sector 1 - The No. 1 Reactor,The only thing I care about is finishin' this job before security and the Roboguards come.
Jessie,Sector 1 - The No. 1 Reactor,"Push the [OK] button in front of a ladder to grab on to it. After that, use the [Directional button] to move up and down."
Barret,Sector 1 - The No. 1 Reactor,"When we blow this place, this ain't gonna be nothin' more than a hunka junk.Cloud, you set the bomb."
Cloud,Sector 1 - The No. 1 Reactor,Shouldn't you do it?
Barret,Sector 1 - The No. 1 Reactor,Jus' do it! I gotta watch to make sure you don't pull nothin'.
Cloud,Sector 1 - The No. 1 Reactor,"Fine, be my guest."
Barret,Sector 1 - The No. 1 Reactor,......What's wrong?
Cloud,Sector 1 - The No. 1 Reactor,Huh?
Barret,Sector 1 - The No. 1 Reactor,"What's wrong, Cloud? Hurry it up!"
Cloud,Sector 1 - The No. 1 Reactor,"...Yeah, sorry."
Barret,Sector 1 - The No. 1 Reactor,"Heads up, here they come!"
Cloud,Sector 1 - The No. 1 Reactor,"Barret, be careful!Attack while it's tail's up!It's gonna counterattack with its laser."
Cloud,Sector 1 - The No. 1 Reactor,"Come on, let's get outta here!"
Cloud,Sector 1 - The No. 1 Reactor,You all right?
Jessie,Sector 1 - The No. 1 Reactor,My leg got stuck.Thanks!
Biggs,Sector 1 - The No. 1 Reactor,Let's go!
Jessie,Sector 1 - The No. 1 Reactor,Code deciphered
Jessie,Sector 1 - The No. 1 Reactor,"Alright, be careful."
